week,AI & Big Tech,AI & Jobs,AI Regulation,AI Safety,AI in Healthcare,Generative AI,Other
2021-12-27,0.0,0.0,3.0,0.0,0.0,0.0,16.0
2022-01-03,2.0,1.0,10.0,0.0,2.0,0.0,52.0
2022-01-10,1.0,0.0,9.0,0.0,2.0,0.0,60.0
2022-01-17,2.0,0.0,14.0,0.0,4.0,1.0,48.0
2022-01-24,1.0,2.0,13.0,0.0,1.0,1.0,54.0
2022-01-31,2.0,0.0,11.0,0.0,0.0,0.0,65.0
2022-02-07,1.0,2.0,15.0,0.0,0.0,0.0,61.0
2022-02-14,2.0,0.0,14.0,0.0,3.0,0.0,68.0
2022-02-21,1.0,0.0,14.0,1.0,1.0,0.0,64.0
2022-02-28,2.0,0.0,18.0,0.0,2.0,0.0,49.0
2022-03-07,1.0,0.0,9.0,0.0,1.0,0.0,57.0
2022-03-14,0.0,1.0,11.0,1.0,1.0,0.0,73.0
2022-03-21,1.0,0.0,8.0,0.0,2.0,0.0,53.0
2022-03-28,1.0,0.0,16.0,0.0,0.0,0.0,76.0
2022-04-04,0.0,0.0,12.0,0.0,3.0,1.0,61.0
2022-04-11,0.0,0.0,9.0,0.0,0.0,0.0,41.0
2022-04-18,1.0,2.0,16.0,0.0,2.0,0.0,47.0
2022-04-25,1.0,1.0,16.0,1.0,3.0,0.0,59.0
2022-05-02,0.0,0.0,13.0,0.0,3.0,0.0,54.0
2022-05-09,0.0,1.0,14.0,0.0,4.0,0.0,61.0
2022-05-16,1.0,1.0,16.0,1.0,2.0,0.0,55.0
2022-05-23,2.0,1.0,21.0,0.0,0.0,0.0,64.0
2022-05-30,2.0,3.0,11.0,0.0,1.0,0.0,52.0
2022-06-06,1.0,1.0,18.0,1.0,2.0,2.0,58.0
2022-06-13,1.0,3.0,16.0,1.0,1.0,1.0,62.0
2022-06-20,2.0,0.0,14.0,1.0,2.0,0.0,68.0
2022-06-27,1.0,1.0,19.0,0.0,3.0,1.0,53.0
2022-07-04,1.0,1.0,19.0,1.0,0.0,0.0,52.0
2022-07-11,2.0,1.0,14.0,2.0,2.0,1.0,63.0
2022-07-18,2.0,1.0,17.0,1.0,2.0,0.0,60.0
2022-07-25,3.0,1.0,18.0,1.0,2.0,0.0,47.0
2022-08-01,2.0,2.0,16.0,0.0,2.0,0.0,70.0
2022-08-08,3.0,0.0,15.0,1.0,1.0,0.0,48.0
2022-08-15,2.0,0.0,17.0,1.0,1.0,0.0,56.0
2022-08-22,1.0,1.0,11.0,1.0,1.0,1.0,57.0
2022-08-29,4.0,1.0,8.0,0.0,3.0,1.0,60.0
2022-09-05,0.0,0.0,17.0,0.0,3.0,0.0,73.0
2022-09-12,1.0,1.0,18.0,1.0,4.0,1.0,56.0
2022-09-19,4.0,0.0,21.0,0.0,2.0,3.0,52.0
2022-09-26,2.0,1.0,24.0,0.0,0.0,0.0,66.0
2022-10-03,3.0,1.0,21.0,0.0,0.0,0.0,57.0
2022-10-10,1.0,0.0,21.0,0.0,1.0,0.0,59.0
2022-10-17,2.0,0.0,13.0,0.0,3.0,0.0,54.0
2022-10-24,3.0,1.0,24.0,0.0,1.0,0.0,60.0
2022-10-31,2.0,0.0,19.0,1.0,1.0,0.0,50.0
2022-11-07,1.0,1.0,23.0,0.0,1.0,1.0,58.0
2022-11-14,2.0,3.0,14.0,1.0,1.0,0.0,74.0
2022-11-21,4.0,1.0,18.0,2.0,1.0,0.0,56.0
2022-11-28,4.0,1.0,22.0,0.0,3.0,1.0,78.0
2022-12-05,6.0,0.0,24.0,0.0,2.0,7.0,70.0
2022-12-12,4.0,1.0,37.0,1.0,3.0,0.0,59.0
2022-12-19,0.0,0.0,19.0,0.0,2.0,0.0,50.0
2022-12-26,1.0,0.0,14.0,0.0,2.0,1.0,50.0
2023-01-02,2.0,0.0,8.0,0.0,1.0,4.0,55.0
2023-01-09,3.0,1.0,18.0,0.0,4.0,6.0,60.0
2023-01-16,2.0,2.0,27.0,1.0,0.0,6.0,67.0
2023-01-23,4.0,1.0,12.0,0.0,0.0,3.0,53.0
2023-01-30,7.0,1.0,18.0,0.0,0.0,6.0,60.0
2023-02-06,11.0,2.0,30.0,0.0,3.0,13.0,65.0
2023-02-13,3.0,2.0,19.0,0.0,0.0,0.0,71.0
2023-02-20,6.0,1.0,15.0,0.0,0.0,6.0,66.0
2023-02-27,6.0,1.0,18.0,0.0,4.0,9.0,72.0
2023-03-06,4.0,0.0,24.0,1.0,2.0,5.0,65.0
2023-03-13,6.0,2.0,35.0,1.0,1.0,6.0,65.0
2023-03-20,6.0,1.0,38.0,2.0,3.0,8.0,57.0
2023-03-27,3.0,0.0,24.0,1.0,0.0,7.0,72.0
2023-04-03,3.0,2.0,20.0,2.0,0.0,8.0,86.0
2023-04-10,1.0,0.0,20.0,0.0,2.0,4.0,81.0
2023-04-17,3.0,2.0,26.0,2.0,4.0,6.0,73.0
2023-04-24,5.0,1.0,31.0,1.0,3.0,4.0,74.0
2023-05-01,4.0,0.0,24.0,1.0,2.0,14.0,101.0
2023-05-08,2.0,0.0,36.0,0.0,5.0,2.0,94.0
2023-05-15,7.0,5.0,27.0,1.0,1.0,6.0,93.0
2023-05-22,10.0,4.0,25.0,2.0,0.0,8.0,86.0
2023-05-29,5.0,1.0,32.0,3.0,3.0,6.0,91.0
2023-06-05,5.0,1.0,27.0,2.0,3.0,7.0,104.0
2023-06-12,3.0,2.0,20.0,2.0,3.0,4.0,77.0
